Scholarship_Name,Provider,Level,Eligible_Classes,Gender,Category,Income_Limit,Amount,Application_Link,Last_Date,Description,Official_Website,Source_URL
NSP Pre-Matric SC Scholarship,National Scholarship Portal,Central,School,All,SC,Varies,Varies,https://scholarships.gov.in/,Varies,Pre-matric scholarship for SC students,scholarships.gov.in,https://scholarships.gov.in/
NSP Post-Matric SC Scholarship,National Scholarship Portal,Central,Post-Matric,All,SC,Varies,Varies,https://scholarships.gov.in/,Varies,Post-matric scholarship for SC students,scholarships.gov.in,https://scholarships.gov.in/
NSP Pre-Matric ST Scholarship,National Scholarship Portal,Central,School,All,ST,Varies,Varies,https://scholarships.gov.in/,Varies,Pre-matric scholarship for ST students,scholarships.gov.in,https://scholarships.gov.in/
NSP Post-Matric ST Scholarship,National Scholarship Portal,Central,Post-Matric,All,ST,Varies,Varies,https://scholarships.gov.in/,Varies,Post-matric scholarship for ST students,scholarships.gov.in,https://scholarships.gov.in/
NSP Pre-Matric OBC Scholarship,National Scholarship Portal,Central,School,All,OBC,Varies,Varies,https://scholarships.gov.in/,Varies,Pre-matric scholarship for OBC students,scholarships.gov.in,https://scholarships.gov.in/
NSP Post-Matric OBC Scholarship,National Scholarship Portal,Central,Post-Matric,All,OBC,Varies,Varies,https://scholarships.gov.in/,Varies,Post-matric scholarship for OBC students,scholarships.gov.in,https://scholarships.gov.in/
Central Sector Scheme of Scholarship for College and University Students,Ministry of Education,Central,UG/PG,All,Merit,Varies,Varies,https://scholarships.gov.in/,Varies,Central sector scholarship for meritorious students,scholarships.gov.in,https://scholarships.gov.in/
Merit-cum-Means Scholarship for Professional and Technical Courses,Ministry of Social Justice,Central,UG/PG,All,General/OBC,₹2.5 lakh,Varies,https://scholarships.gov.in/,Varies,Merit-cum-means support for technical courses,scholarships.gov.in,https://scholarships.gov.in/
AICTE Pragati Scholarship for Girls,AICTE,Central,Diploma/Degree (Technical),Female,All,"₹8,00,000","₹50,000/year",https://www.aicte-india.org/,Varies,Support for girl students in technical education,aicte-india.org,https://www.aicte-india.org/
AICTE Saksham Scholarship,AICTE,Central,Diploma/Degree (Technical),All,PwD,"₹8,00,000","₹50,000/year",https://www.aicte-india.org/,Varies,Support for specially-abled students in technical education,aicte-india.org,https://www.aicte-india.org/
AICTE Swanath Scholarship,AICTE,Central,Diploma/Degree (Technical),All,Vulnerable,"₹8,00,000",Varies,https://www.aicte-india.org/,Varies,Support for orphans and vulnerable students,aicte-india.org,https://www.aicte-india.org/
National Means-cum-Merit Scholarship (NMMS),Ministry of Education,Central,Class 9 (School),All,Low-income,State-specific,Varies,https://scholarships.gov.in/,Varies,Scholarship to reduce dropout at secondary level,scholarships.gov.in,https://scholarships.gov.in/
Top Class Education for SC Students,Ministry of Social Justice,Central,UG/PG,All,SC,Varies,Fee reimbursement,https://scholarships.gov.in/,Varies,Top class education support for SC students,scholarships.gov.in,https://scholarships.gov.in/
Maulana Azad National Fellowship (Minority),Ministry of Minority Affairs,Central,PhD/Research,All,Minority,Varies,Monthly fellowship,https://minorityaffairs.gov.in/,Varies,Fellowship for minorities for higher education,minorityaffairs.gov.in,https://minorityaffairs.gov.in/
Minority Scholarship Schemes (NSP),Ministry of Minority Affairs,Central,UG/PG/School,All,Minority,Varies,Varies,https://scholarships.gov.in/,Varies,Multiple minority scholarship schemes,minorityaffairs.gov.in,https://minorityaffairs.gov.in/
National Fellowship for SC Students (NFSC),Ministry of Social Justice,Central,PhD/Research,All,SC,Varies,Monthly fellowship,https://scholarships.gov.in/,Varies,Research fellowship for SC students,scholarships.gov.in,https://scholarships.gov.in/
National Fellowship for OBC Students (NFOS),Ministry of Social Justice,Central,PhD/Research,All,OBC,Varies,Monthly fellowship,https://scholarships.gov.in/,Varies,Research fellowship for OBC students,scholarships.gov.in,https://scholarships.gov.in/
Khelo India Scholarships (Central),Khelo India / Ministry of Youth Affairs,Central,School/UG,All,Sportspersons,Varies,Stipend/Training grants,https://kheloindia.gov.in/,Varies,Sports scholarships & training support,kheloindia.gov.in,https://kheloindia.gov.in/
